date,MSFT,AAPL,GOOGL
2010-01-29,28.18000,192.06300,529.94397
2010-02-26,28.67000,204.62000,526.79999
2010-03-31,29.28750,235.00000,567.12000
2010-04-30,30.53500,261.09000,525.69501
2010-05-28,25.80000,256.88000,485.63000
2010-06-30,23.01000,251.53000,444.95001
2010-07-30,25.81000,257.25000,484.85001
2010-08-31,23.46500,243.10001,450.01999
2010-09-30,24.49000,283.75000,525.78998
2010-10-29,26.66500,300.98001,613.70001
2010-11-30,25.25750,311.14999,555.71002
2010-12-31,27.91000,322.56000,593.96997
2011-01-31,27.72500,339.32001,600.35999
2011-02-28,26.58000,353.20999,613.40002
2011-03-31,25.39000,348.50751,586.76001
2011-04-29,25.92000,350.13000,544.09998
2011-05-31,25.01000,347.82999,529.02002
2011-06-30,26.00000,335.67001,506.38000
2011-07-29,27.40000,390.48001,603.69000
2011-08-31,26.60000,384.82999,540.96002
2011-09-30,24.89000,381.32001,515.03998
2011-10-31,26.63000,404.78000,592.64001
2011-11-30,25.58000,382.20001,599.39001
2011-12-30,25.96000,405.00000,645.90002
2012-01-31,29.53000,456.48001,580.10999
2012-02-29,31.74000,542.44000,618.25000
2012-03-30,32.25500,599.54999,641.23999
2012-04-30,32.01500,583.97998,604.84998
2012-05-31,29.19000,577.72998,580.85999
2012-06-29,30.59000,584.00000,580.07001
2012-07-31,29.47000,610.76001,632.96997
2012-08-31,30.82000,665.23999,685.09003
2012-09-28,29.76000,667.10498,754.50000
2012-10-31,28.54000,595.32001,680.29761
2012-11-30,26.61500,585.28003,698.37000
2012-12-31,26.70970,532.17291,707.38000
2013-01-31,27.45000,455.48999,755.69000
2013-02-28,27.80000,441.39999,801.20001
2013-03-28,28.60500,442.66000,794.18799
2013-04-30,33.10000,442.78000,824.57001
2013-05-31,34.90000,449.73499,871.21802
2013-06-28,34.54500,396.53000,880.37000
2013-07-31,31.84000,452.53000,887.75000
2013-08-30,33.40000,487.21600,846.90002
2013-09-30,33.28000,476.75000,875.90997
2013-10-31,35.40500,522.70203,1030.57996
2013-11-29,38.13000,556.07001,1059.58997
2013-12-31,37.41000,561.02002,1120.70996
2014-01-31,37.84000,500.60001,1180.96997
2014-02-28,38.31000,526.23999,1215.65002
2014-03-31,40.99000,536.73999,1114.51001
2014-04-30,40.40000,590.09003,534.88000
2014-05-30,40.94000,633.00000,571.65002
2014-06-30,41.70000,92.93000,584.66998
2014-07-31,43.16000,95.60000,579.54999
2014-08-29,45.43000,102.50000,582.35999
2014-09-30,46.36000,100.75000,588.40997
2014-10-31,46.95000,108.00000,567.87000
2014-11-28,47.81000,118.93000,549.08002
2014-12-31,46.45000,110.38000,530.65997
2015-01-30,40.40000,117.16000,537.54999
2015-02-27,43.85000,128.46001,562.63000
2015-03-31,40.65500,124.43000,554.70001
2015-04-30,48.64000,125.15000,548.77002
2015-05-29,46.86000,130.28000,545.32001
2015-06-30,44.15000,125.42500,540.03998
2015-07-31,46.70000,121.30000,657.50000
2015-08-31,43.52000,112.76000,647.82001
2015-09-30,44.26000,110.30000,638.37000
2015-10-30,52.64000,119.50000,737.39001
2015-11-30,54.35000,118.30000,762.84998
2015-12-31,55.48000,105.26000,778.01001
2016-01-29,55.09000,97.34000,761.34998
2016-02-29,50.88000,96.69000,717.21997
2016-03-31,55.23000,108.99000,762.90002
2016-04-29,49.87000,93.74000,707.88000
2016-05-31,53.00000,99.86000,748.84998
2016-06-30,51.17000,95.60000,703.53003
2016-07-29,56.68000,104.21000,791.34003
2016-08-31,57.46000,106.10000,789.84998
2016-09-30,57.60000,113.05000,804.06000
2016-10-31,59.92000,113.54000,809.90002
2016-11-30,60.26000,110.52000,775.88000
2016-12-30,62.14000,115.82000,792.45001
2017-01-31,64.65000,121.35000,820.19000
2017-02-28,63.98000,136.99001,844.92999
2017-03-31,65.86000,143.66000,847.79999
2017-04-28,68.46000,143.64999,924.52002
2017-05-31,69.84000,152.75999,987.09003
2017-06-30,68.93000,144.02000,929.67999
2017-07-31,72.70000,148.73000,945.50000
2017-08-31,74.77000,164.00000,955.23999
2017-09-29,74.49000,154.12000,973.71997
2017-10-31,83.18000,169.03999,1033.04004
2017-11-30,84.17000,171.85001,1036.17004
2017-12-29,85.54000,169.23000,1053.40002
2018-01-31,95.01000,167.42999,1182.21997
2018-02-28,93.77000,178.12000,1103.92004
2018-03-29,91.27000,167.78000,1037.14001
2018-04-30,93.52000,165.25999,1018.58002
2018-05-31,98.84000,186.87000,1100.00000
2018-06-29,98.61000,185.11000,1129.18994
2018-07-31,106.08000,190.28999,1227.21997
2018-08-31,112.33000,227.63000,1231.80005
2018-09-28,114.37000,225.74001,1207.07996
2018-10-31,106.81000,218.86000,1090.57996
2018-11-30,110.89000,178.58000,1109.65002
2018-12-31,101.57000,157.74001,1044.95996
2019-01-31,104.43000,166.44000,1125.89001
2019-02-28,112.03000,173.14999,1126.55005
2019-03-29,117.94000,189.95000,1176.89001
2019-04-30,130.60001,200.67000,1198.95996
2019-05-31,123.68000,175.07001,1106.50000
2019-06-28,133.96001,197.92000,1082.80005
2019-07-31,136.27000,213.03999,1218.19995
2019-08-30,137.86000,208.74001,1190.53003
2019-09-30,139.03000,223.97000,1221.14001
2019-10-31,143.37000,248.75999,1258.80005
2019-11-29,151.38000,267.25000,1304.08997
2019-12-31,157.70000,293.64999,1339.39001
2020-01-31,170.23000,309.51001,1432.78003
2020-02-28,162.00999,273.35999,1339.25000
2020-03-31,157.71001,254.28999,1161.94995
2020-04-30,179.21001,293.79999,1346.69995
2020-05-29,183.25000,317.94000,1433.52002
2020-06-30,203.50999,364.79999,1418.05005
2020-07-31,205.00999,425.04001,1487.94995
2020-08-31,225.53000,129.03999,1629.53003
2020-09-30,210.33000,115.81000,1465.59998
2020-10-30,202.47000,108.86000,1616.10999
2020-11-30,214.07001,119.05000,1754.40002
2020-12-31,222.42000,132.69000,1752.64001
2021-01-29,231.96001,131.96001,1827.35999
2021-02-26,232.38000,121.26000,2021.91003
2021-03-31,235.77000,122.15000,2062.52002
2021-04-30,252.17999,131.46001,2353.50000
2021-05-28,249.67999,124.61000,2356.85010
2021-06-30,270.89999,136.96001,2441.79004
2021-07-30,284.91000,145.86000,2694.53003
2021-08-31,301.88000,151.83000,2893.94995
2021-09-30,281.92001,141.50000,2673.52002
2021-10-29,331.62000,149.80000,2960.91992
2021-11-30,330.59000,165.30000,2837.94995
2021-12-31,336.32001,177.57001,2897.04004
2022-01-31,310.98001,174.78000,2706.07007
2022-02-28,298.79001,165.12000,2701.13989
2022-03-31,308.31000,174.61000,2781.35010
2022-04-29,277.51999,157.64999,2282.18994
2022-05-31,271.87000,148.84000,2275.23999
2022-06-30,256.82999,136.72000,2179.26001
2022-07-29,280.73999,162.50999,116.32000
2022-08-31,261.47000,157.22000,108.22000
2022-09-30,232.89999,138.20000,95.65000
2022-10-31,232.13000,153.34000,94.51000
2022-11-30,255.14000,148.03000,100.99000
2022-12-30,239.82001,129.92999,88.23000
